|------
|Τμήμα|Έτος|Κωδικός ΚΕΝ|Ασφαλιστικός Φορέας|Πλήθος Νοσηλειών|Συνολικό Βασικό Έσοδο|Συνολική Πρόσθετη Χρέωση|Τελικό Σύνολο Εσόδων
|------
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2021|Γ05Χ|INTERAMERICAN|1|2303.85|268.70|2572.55
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2021|Μ28Χ|ΕΟΠΥΥ|1|1239.70|323.14|1562.84
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2021|Π28Χ|ΕΟΠΥΥ|1|2483.93|1612.02|4095.95
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2021|Π41Μ|ETHNIKI|1|4822.66|1124.80|5947.46
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2021|Π47Χ|ALLIANZ|1|1383.44|1660.08|3043.52
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2021|Π50Μ|METLIFE|1|4723.31|1007.44|5730.75
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2022|Α02Χ|ΕΟΠΥΥ|1|1821.97|1075.77|2897.74
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2022|Α24Χ|ΑΝΑΣΦΑΛΙΣΤΟΣ|1|2890.08|0.00|2890.08
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2022|Α25Χ|ALLIANZ|1|4103.62|0.00|4103.62
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2022|Κ03Μ|ΕΦΚΑ|1|1168.49|0.00|1168.49
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2022|Μ30Α|METLIFE|1|4960.78|199.08|5159.86
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2022|Μ31Μ|GENERALI|1|2959.51|0.00|2959.51
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2022|Μ73Χ|ΕΟΠΥΥ|1|2739.26|0.00|2739.26
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2022|Μ77Μ|INTERAMERICAN|1|1032.19|0.00|1032.19
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2022|Σ01Χ|ALLIANZ|1|1334.52|584.86|1919.38
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2022|Φ10Α|GENERALI|1|4429.32|940.90|5370.22
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2023|Α31Μ|EUROLIFE|1|3931.49|457.60|4389.09
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2023|Ζ21Α|ALLIANZ|1|3973.13|871.98|4845.11
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2023|Η05Μ|ETHNIKI|1|528.54|0.00|528.54
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2023|Κ36Μ|ETHNIKI|1|3931.00|0.00|3931.00
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2023|Μ10Μ|ΕΟΠΥΥ|1|1717.17|0.00|1717.17
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2023|Μ19Μ|ΕΦΚΑ|1|2404.43|701.00|3105.43
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2023|Ν21Μ|ETHNIKI|1|4911.01|0.00|4911.01
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2023|Π10Χ|ΕΟΠΥΥ|1|4376.62|1091.60|5468.22
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2023|Ρ20Χ|ETHNIKI|1|1338.57|0.00|1338.57
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2023|Υ20Μβ|ALLIANZ|1|4935.89|582.60|5518.49
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2023|Φ10Α|ΕΟΠΥΥ|1|2701.34|1548.30|4249.64
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2023|Φ26Χ|INTERAMERICAN|1|509.27|2548.68|3057.95
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2024|Α25Χ|ΕΦΚΑ|1|1717.46|0.00|1717.46
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2024|Α29Χ|ΕΦΚΑ|1|1057.88|0.00|1057.88
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2024|Γ07Α|METLIFE|1|4310.66|1000.98|5311.64
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2024|Δ25Μ|ΕΟΠΥΥ|1|2029.47|0.00|2029.47
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2024|Η07Χ|METLIFE|1|3375.94|0.00|3375.94
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2024|Κ05Χ|ALLIANZ|1|3271.19|0.00|3271.19
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2024|Κ07Μα|INTERAMERICAN|1|509.10|0.00|509.10
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2024|Κ38Μ|GENERALI|1|2448.98|0.00|2448.98
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2024|Κ43Μ|INTERAMERICAN|1|2493.70|0.00|2493.70
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2024|Μ15Α|METLIFE|1|4748.00|0.00|4748.00
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2024|Ν22Α|INTERAMERICAN|1|4530.65|623.07|5153.72
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2024|Ν27Μα|ETHNIKI|1|1459.00|0.00|1459.00
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2024|Ο61Χ|INTERAMERICAN|1|822.75|568.54|1391.29
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2024|Τ03Α|ALLIANZ|1|1944.31|0.00|1944.31
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2024|Φ26Χ|ΑΝΑΣΦΑΛΙΣΤΟΣ|1|3487.86|1390.64|4878.50
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2024|Φ60Μ|METLIFE|1|2079.48|0.00|2079.48
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2024|Ω04Μ|INTERAMERICAN|1|4275.47|0.00|4275.47
