|------
|KODIKOS_OUSIAS|ONOMA_OUSIAS|ARITHMOS_ASTHENON|ARITHMOS_FARMAKON
|------
|DO-01394|Atropine Sulfate Monohydrate|1|38
|DO-06364|Hypericum Perforatum (Dry Hydroalcoholic Extract)|1|1
|DO-04571|Dry Extract Of Yarrow (5-10: 1), Extraction Solven|1|6
|DO-09077|Piflufolastat (18f)|1|3
|DO-06329|Hymecromone|1|6
|DO-02667|Cefotaxime Sodium, Lidocaine Hydrochloride|1|5
|DO-09691|Ragweed Pollen|1|1
|DO-11943|Zidovudine, Abacavir Sulfate, Lamivudine|1|4
|DO-09307|Potassium Chloride, Sodium Chloride, Sodium Phosph|1|1
|DO-08847|Pentazocine Hydrochloride|1|2
|DO-09007|Phleum Pratense Pollen Extract, Algeldrate, Arrhen|1|1
|DO-06640|Isosorbide Mononitrate|1|122
|DO-00777|Anamirta Cocculus Dil D6, Petroleum Rectificatum D|1|1
|DO-06192|Hydrargyrum Bichloratum D5, Apis Mellifica D4, Atr|1|1
|DO-00809|Anhydrous Caffeine, Paracetamol Dc, Paracetamol Ph|1|1
|DO-01033|Argipressin|1|31
|DO-06018|Helium, Carbon Monoxide|1|59
|DO-08472|Oculus Totalis Suis D10, Oculus Totalis Suis D200,|1|1
|DO-08553|Orthosiphon Folium, Solidago Gigantea, Phaseoli Pe|1|1
|DO-05184|Extractum Spissum Compositum Ex: Arnicae Et Calend|1|1
|DO-03998|Diclofenac Sodium, Thiocolchicoside|1|1
|DO-00060|Absinthium Tincture, Belladonna Tincture, Mentha P|1|1
|DO-10136|Senna Pods, Tinnevelly, Senna Leaf Powder|1|1
|DO-07142|Liquid Extract (0.67:1) From: Artemisia Abrotanum |1|1
|DO-06535|Interferon Alfa, Dimethyl Sulfoxide, Molgramostim,|1|1
|DO-06439|Idebenone|1|7
|DO-01370|Atropa Bella-Donna Dil D5, Rhus Toxicodendron Dil.|1|1
|DO-00214|Acidum Phosphoricum Dil. D 1, Anamirta Cocculus Tr|1|1
|DO-07523|Magnesium Sulfate, Sodium Hydrogen Carbonate Pheur|1|3
|DO-09251|Posaconazole|1|195
|DO-06877|Latrodectus Mactans D4, Kalmia D2, Strophanthus D4|1|1
|DO-12015|Ziprasidone Hydrochloride Monohydrate|1|1
|DO-03858|Devil&#039;s Claw Root Dry Extract (4.4-5.0:1)|1|3
|DO-08521|Omeprazole Magnesium|1|17
|DO-10586|Sorbitan Trioleate, Polysorbate 80, Sodium Citrate|1|1
|DO-00493|Alternaria Tenuis|1|2
|DO-09472|Promazine Hydrochloride|1|15
|DO-08855|Pentosan Polysulfate Sodium|1|18
|DO-04140|Dipotassium Phosphate|1|2
|DO-02474|Cannabinol, Dronabinol|1|1
|DO-09143|Pitofenone Hydrochloride, Metamizole Sodium|1|1
|DO-10080|Scrophularia Nodosa Dil. D2|1|1
|DO-11290|Tolnaftate|1|7
|DO-08651|Pancrealipase|1|3
|DO-04901|Erythromycin Stearate|1|5
|DO-06287|Hydrocortisone Sodium Succinate, Neomycin Sulfate,|1|1
|DO-11616|Valine, Alanine, Arginine, Histidine, Isoleucine, |1|4
|DO-06217|Hydrastis Canadensis D4, Adrenalinum D6, Cinchona |1|1
|DO-10952|Telmisartan, Amlodipine Besilate|1|13
|DO-09061|Phytolacca Americana Dil. D4, Atropa Bella-Donna S|1|1
|DO-05308|Ferrum Sidereum Trit. D20|1|1
|DO-03103|Cinchocaine Hydrochloride, Framycetin Sulfate, Hyd|1|1
|DO-00184|Acidum Formicicum Dil. D 4, Filipendula Ulmaria Di|1|1
|DO-10629|St. John&#039;s Wort Dry Extract (3.5-6.0:1), Extractio|1|3
|DO-09780|Retinol Palmitate, Alfa-Tocopheryl Acetate|1|2
|DO-00597|Ambra Grisea Dil. D 3, Strophanthus Gratus D4|1|1
|DO-09640|Pyritinol Hydrochloride|1|3
|DO-00245|Aconite Tincture, Codeine Phosphate Hemihydrate, S|1|1
|DO-00277|Aconitum Napellus, Atropa Bella-Donna, Calendula O|1|1
|DO-06624|Isopropyl Alcohol Ph. Eur.|1|1
|DO-11889|Vosoritide|1|4
|DO-05430|Flurazepam Hydrochloride|1|1
|DO-04732|Emtricitabine, Tenofovir Alafenamide, Darunavir, C|1|4
|DO-02575|Cariprazine|1|4
|DO-09017|Phleum Pratense Pollen, Depigmented Polymerized Ex|1|1
|DO-03190|Cladosporium Herbarum (Pers.) Link, Whole|1|2
|DO-07324|Lurasidone|1|42
|DO-03443|Concizumab|1|3
|DO-03315|Cochlearia Officinalis D5, Euphrasia D5, Pilocarpu|1|3
|DO-05232|Fennel, Sweet, Valerianae Radix, Menthae Piperitae|1|1
|DO-03475|Copper Gluconate, Manganese Gluconate, Colloidal G|1|1
|DO-00688|Amlodipine, Ramipril|1|57
|DO-08322|Nicorandil|1|16
|DO-09145|Pitolisant|1|8
|DO-05159|Extract Of Fresh Pine Mistletoe Herb|1|2
|DO-04624|Echinacea Dil. D2, Cinchona Pubescens Dil. D6, Atr|1|1
|DO-00035|4-Toluenesulfonamide-Formaldehyde Resin|1|1
|DO-04528|Dry Extract Of Passion Flower (5-7:1), Dry Extract|1|1
|DO-03338|Codeine Phosphate Hemihydrate, Ibuprofen Arginine|1|2
|DO-11871|Vitamin A Concentrate (Oily Form), Synthetic|1|4
|DO-09203|Poa Sp., Phleum Pratense, Holcus Lanatus, Alopecur|1|1
|DO-00743|Ampicillin Sodium|1|15
|DO-01508|B/Phuket/3073/2013-Like Virus (B/Phuket/3073/2013,|1|56
|DO-02266|Calcium Chloride, Magnesium Chloride Hexahydrate, |1|1
|DO-01601|Belladonna Alkaloids|1|2
|DO-11536|Valerian Root Dry Extract (3-6:1), Ethanol 70 %(V/|1|1
|DO-06696|Kalium Bichromicum Dil. D8, Pulsatilla Pratensis D|1|1
|DO-00058|Abrocitinib|1|4
|DO-06248|Hydrocortisone Acetate|1|44
