|------
|Τμήμα|Βάρδια|Τύπος Προσωπικού|Υποκλάση (Ειδικότητα/Βαθμίδα/Ρόλος)|Προγραμματισμένος Αριθμός
|------
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|ΑΠΟΓΕΥΜΑΤΙΝΗ|ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ|ΑΡΧΕΙΟΦΥΛΑΚΑΣ|3
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|ΑΠΟΓΕΥΜΑΤΙΝΗ|ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ|ΓΡΑΜΜΑΤΕΑΣ|6
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|ΑΠΟΓΕΥΜΑΤΙΝΗ|ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ|ΥΠΕΥΘΥΝΟΣ ΜΗΧΑΝΟΓΡΑΦΗΣΗΣ|3
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|ΑΠΟΓΕΥΜΑΤΙΝΗ|ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ|ΥΠΟΔΟΧΗ|2
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|ΑΠΟΓΕΥΜΑΤΙΝΗ|ΙΑΤΡΟΣ|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΑ|7
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|ΑΠΟΓΕΥΜΑΤΙΝΗ|ΙΑΤΡΟΣ|ΓΕΝΙΚΗ ΧΕΙΡΟΥΡΓΙΚΗ|1
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|ΑΠΟΓΕΥΜΑΤΙΝΗ|ΙΑΤΡΟΣ|ΕΝΔΟΚΡΙΝΟΛΟΓΙΑ|3
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|ΑΠΟΓΕΥΜΑΤΙΝΗ|ΙΑΤΡΟΣ|ΝΕΥΡΟΛΟΓΙΑ|1
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|ΑΠΟΓΕΥΜΑΤΙΝΗ|ΙΑΤΡΟΣ|ΟΦΘΑΛΜΟΛΟΓΙΑ|1
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|ΑΠΟΓΕΥΜΑΤΙΝΗ|ΙΑΤΡΟΣ|ΠΑΘΟΛΟΓΙΑ|1
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|ΑΠΟΓΕΥΜΑΤΙΝΗ|ΙΑΤΡΟΣ|ΠΑΙΔΙΑΤΡΙΚΗ|3
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|ΑΠΟΓΕΥΜΑΤΙΝΗ|ΙΑΤΡΟΣ|ΤΕΠ(ΤΜΗΜΑ ΕΠΕΙΓΟΝΤΩΝ ΠΕΡΙΣΤΑΤΙΚΩΝ)|1
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|ΑΠΟΓΕΥΜΑΤΙΝΗ|ΙΑΤΡΟΣ|ΨΥΧΙΑΤΡΙΚΗ|3
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|ΑΠΟΓΕΥΜΑΤΙΝΗ|ΝΟΣΗΛΕΥΤΗΣ|ΒΟΗΘΟΣ ΝΟΣΗΛΕΥΤΗ|8
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|ΑΠΟΓΕΥΜΑΤΙΝΗ|ΝΟΣΗΛΕΥΤΗΣ|ΝΟΣΗΛΕΥΤΗΣ|9
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|ΑΠΟΓΕΥΜΑΤΙΝΗ|ΝΟΣΗΛΕΥΤΗΣ|ΠΡΟΪΣΤΑΜΕΝΟΣ|25
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|ΝΥΧΤΕΡΙΝΗ|ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ|ΑΡΧΕΙΟΦΥΛΑΚΑΣ|3
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|ΝΥΧΤΕΡΙΝΗ|ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ|ΓΡΑΜΜΑΤΕΑΣ|4
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|ΝΥΧΤΕΡΙΝΗ|ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ|ΥΠΕΥΘΥΝΟΣ ΜΗΧΑΝΟΓΡΑΦΗΣΗΣ|2
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|ΝΥΧΤΕΡΙΝΗ|ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ|ΥΠΟΔΟΧΗ|5
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|ΝΥΧΤΕΡΙΝΗ|ΙΑΤΡΟΣ|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΑ|10
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|ΝΥΧΤΕΡΙΝΗ|ΙΑΤΡΟΣ|ΕΝΤΑΤΙΚΗ ΘΕΡΑΠΕΙΑ|1
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|ΝΥΧΤΕΡΙΝΗ|ΙΑΤΡΟΣ|ΚΑΡΔΙΟΛΟΓΙΑ|1
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|ΝΥΧΤΕΡΙΝΗ|ΙΑΤΡΟΣ|ΟΓΚΟΛΟΓΙΑ|2
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|ΝΥΧΤΕΡΙΝΗ|ΙΑΤΡΟΣ|ΟΡΘΟΠΕΔΙΚΗ|2
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|ΝΥΧΤΕΡΙΝΗ|ΙΑΤΡΟΣ|ΠΑΘΟΛΟΓΙΑ|1
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|ΝΥΧΤΕΡΙΝΗ|ΙΑΤΡΟΣ|ΠΑΙΔΙΑΤΡΙΚΗ|1
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|ΝΥΧΤΕΡΙΝΗ|ΙΑΤΡΟΣ|ΠΝΕΥΜΟΝΟΛΟΓΙΑ|1
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|ΝΥΧΤΕΡΙΝΗ|ΙΑΤΡΟΣ|ΤΕΠ(ΤΜΗΜΑ ΕΠΕΙΓΟΝΤΩΝ ΠΕΡΙΣΤΑΤΙΚΩΝ)|2
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|ΝΥΧΤΕΡΙΝΗ|ΝΟΣΗΛΕΥΤΗΣ|ΒΟΗΘΟΣ ΝΟΣΗΛΕΥΤΗ|11
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|ΝΥΧΤΕΡΙΝΗ|ΝΟΣΗΛΕΥΤΗΣ|ΝΟΣΗΛΕΥΤΗΣ|12
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|ΝΥΧΤΕΡΙΝΗ|ΝΟΣΗΛΕΥΤΗΣ|ΠΡΟΪΣΤΑΜΕΝΟΣ|19
