|------
|Επίπεδο Επείγοντος (Triage)|Σύνολο Περιστατικών|Μέσος Χρόνος Αναμονής (Λεπτά)|Ποσοστό Εισαγωγών (%)|Τμήμα Παραπομπής|Περιστατικά ανά Τμήμα
|------
|1|577|93.1|10.7|ΤΕΠ(ΤΜΗΜΑ ΕΠΕΙΓΟΝΤΩΝ ΠΕΡΙΣΤΑΤΙΚΩΝ)|6
|1|577|93.1|10.7|ΟΦΘΑΛΜΟΛΟΓΙΚΗ|6
|1|577|93.1|10.7|ΚΑΡΔΙΟΛΟΓΙΚΗ|6
|1|577|93.1|10.7|ΧΕΙΡΟΥΡΓΙΚΗ Β|5
|1|577|93.1|10.7|ΧΕΙΡΟΥΡΓΙΚΗ Α|5
|1|577|93.1|10.7|ΟΡΘΟΠΕΔΙΚΗ|5
|1|577|93.1|10.7|ΕΝΤΑΤΙΚΗ ΘΕΡΑΠΕΙΑ|5
|1|577|93.1|10.7|ΠΑΙΔΙΑΤΡΙΚΗ|4
|1|577|93.1|10.7|ΠΑΘΟΛΟΓΙΚΗ|4
|1|577|93.1|10.7|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|4
|1|577|93.1|10.7|ΠΝΕΥΜΟΝΟΛΟΓΙΚΗ|3
|1|577|93.1|10.7|ΝΕΥΡΟΛΟΓΙΚΗ|3
|1|577|93.1|10.7|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|3
|1|577|93.1|10.7|ΟΓΚΟΛΟΓΙΚΗ|2
|1|577|93.1|10.7|ΨΥΧΙΑΤΡΙΚΗ|1
|2|599|60.3|11.4|ΧΕΙΡΟΥΡΓΙΚΗ Α|8
|2|599|60.3|11.4|ΠΑΘΟΛΟΓΙΚΗ|8
|2|599|60.3|11.4|ΝΕΥΡΟΛΟΓΙΚΗ|6
|2|599|60.3|11.4|ΠΝΕΥΜΟΝΟΛΟΓΙΚΗ|6
|2|599|60.3|11.4|ΠΑΙΔΙΑΤΡΙΚΗ|6
|2|599|60.3|11.4|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|5
|2|599|60.3|11.4|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|5
|2|599|60.3|11.4|ΧΕΙΡΟΥΡΓΙΚΗ Β|5
|2|599|60.3|11.4|ΨΥΧΙΑΤΡΙΚΗ|4
|2|599|60.3|11.4|ΚΑΡΔΙΟΛΟΓΙΚΗ|3
|2|599|60.3|11.4|ΤΕΠ(ΤΜΗΜΑ ΕΠΕΙΓΟΝΤΩΝ ΠΕΡΙΣΤΑΤΙΚΩΝ)|3
|2|599|60.3|11.4|ΟΦΘΑΛΜΟΛΟΓΙΚΗ|3
|2|599|60.3|11.4|ΟΓΚΟΛΟΓΙΚΗ|3
|2|599|60.3|11.4|ΟΡΘΟΠΕΔΙΚΗ|2
|2|599|60.3|11.4|ΕΝΤΑΤΙΚΗ ΘΕΡΑΠΕΙΑ|1
|3|628|30.5|12.4|ΟΦΘΑΛΜΟΛΟΓΙΚΗ|11
|3|628|30.5|12.4|ΤΕΠ(ΤΜΗΜΑ ΕΠΕΙΓΟΝΤΩΝ ΠΕΡΙΣΤΑΤΙΚΩΝ)|8
|3|628|30.5|12.4|ΠΑΘΟΛΟΓΙΚΗ|7
|3|628|30.5|12.4|ΝΕΥΡΟΛΟΓΙΚΗ|7
|3|628|30.5|12.4|ΕΝΤΑΤΙΚΗ ΘΕΡΑΠΕΙΑ|7
|3|628|30.5|12.4|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|6
|3|628|30.5|12.4|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|6
|3|628|30.5|12.4|ΟΡΘΟΠΕΔΙΚΗ|5
|3|628|30.5|12.4|ΨΥΧΙΑΤΡΙΚΗ|4
|3|628|30.5|12.4|ΧΕΙΡΟΥΡΓΙΚΗ Β|4
|3|628|30.5|12.4|ΠΑΙΔΙΑΤΡΙΚΗ|4
|3|628|30.5|12.4|ΟΓΚΟΛΟΓΙΚΗ|3
|3|628|30.5|12.4|ΚΑΡΔΙΟΛΟΓΙΚΗ|3
|3|628|30.5|12.4|ΧΕΙΡΟΥΡΓΙΚΗ Α|2
|3|628|30.5|12.4|ΠΝΕΥΜΟΝΟΛΟΓΙΚΗ|1
|4|597|14.5|10.9|ΠΝΕΥΜΟΝΟΛΟΓΙΚΗ|9
|4|597|14.5|10.9|ΠΑΘΟΛΟΓΙΚΗ|6
|4|597|14.5|10.9|ΟΦΘΑΛΜΟΛΟΓΙΚΗ|6
|4|597|14.5|10.9|ΝΕΥΡΟΛΟΓΙΚΗ|6
|4|597|14.5|10.9|ΟΡΘΟΠΕΔΙΚΗ|5
|4|597|14.5|10.9|ΟΓΚΟΛΟΓΙΚΗ|5
|4|597|14.5|10.9|ΕΝΤΑΤΙΚΗ ΘΕΡΑΠΕΙΑ|5
|4|597|14.5|10.9|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|5
|4|597|14.5|10.9|ΧΕΙΡΟΥΡΓΙΚΗ Β|4
|4|597|14.5|10.9|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|4
|4|597|14.5|10.9|ΨΥΧΙΑΤΡΙΚΗ|3
|4|597|14.5|10.9|ΧΕΙΡΟΥΡΓΙΚΗ Α|2
|4|597|14.5|10.9|ΤΕΠ(ΤΜΗΜΑ ΕΠΕΙΓΟΝΤΩΝ ΠΕΡΙΣΤΑΤΙΚΩΝ)|2
|4|597|14.5|10.9|ΚΑΡΔΙΟΛΟΓΙΚΗ|2
|4|597|14.5|10.9|ΠΑΙΔΙΑΤΡΙΚΗ|1
|5|599|1.5|13.4|ΤΕΠ(ΤΜΗΜΑ ΕΠΕΙΓΟΝΤΩΝ ΠΕΡΙΣΤΑΤΙΚΩΝ)|9
|5|599|1.5|13.4|ΧΕΙΡΟΥΡΓΙΚΗ Α|8
|5|599|1.5|13.4|ΟΦΘΑΛΜΟΛΟΓΙΚΗ|8
|5|599|1.5|13.4|ΠΑΙΔΙΑΤΡΙΚΗ|7
|5|599|1.5|13.4|ΨΥΧΙΑΤΡΙΚΗ|6
|5|599|1.5|13.4|ΠΑΘΟΛΟΓΙΚΗ|6
|5|599|1.5|13.4|ΟΡΘΟΠΕΔΙΚΗ|5
|5|599|1.5|13.4|ΕΝΤΑΤΙΚΗ ΘΕΡΑΠΕΙΑ|5
|5|599|1.5|13.4|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|5
|5|599|1.5|13.4|ΧΕΙΡΟΥΡΓΙΚΗ Β|4
|5|599|1.5|13.4|ΠΝΕΥΜΟΝΟΛΟΓΙΚΗ|4
|5|599|1.5|13.4|ΟΓΚΟΛΟΓΙΚΗ|4
|5|599|1.5|13.4|ΝΕΥΡΟΛΟΓΙΚΗ|4
|5|599|1.5|13.4|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|4
|5|599|1.5|13.4|ΚΑΡΔΙΟΛΟΓΙΚΗ|1
